Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Kathleen Russell (b.1940),"Rock R Coast, Hethleen Russell, Bournemouth",1966,1960s,"Ink and wash drawing/painting of coastal city in Bournemouth UK, limited colour palette",ink/coating (material)/materials (substances),Measurement includes mount,Art Collection; Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,Signature and location seen on bottom left corner. Title of bottom right. Date seen on mount and on reverse.,EU4287,https://collections.ed.ac.uk/art/record/99523?highlight=*:*,NA,NA,NA
Kathleen Russell (b.1940),Kathleen B Russell,1960,1960s,Graphite drawing on paper of male portrait/bust,graphite (mineral)/inorganic material/materials (substances),Measurement of drawing/no mount,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,Signature and date seen in bottom right hand corner of drawing,EU4286,https://collections.ed.ac.uk/art/record/99522?highlight=*:*,NA,NA,NA
Kathleen Russell (b.1940),Untitled,1962,1960s,"Pastel life drawing on tonal paper using pastel and wash, of a male sitter from 3/4 view, seated on chair. Image also seen on reverse of an additional life drawing in graphite.",pastels (crayons)/crayons (drawing material),Measurements include mount,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,NA,EU4285,https://collections.ed.ac.uk/art/record/99521?highlight=*:*,NA,NA,NA
Kathleen Russell (b.1940),Anique Life drawing - 3rd Year,1962,1960s,Life drawing on tonal paper of female sitter in traditional floor length dress,pastels (crayons)/crayons (drawing material),Measurements include mount,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,"Title marked on reverse of drawing with pencil 'Russell,' seen on front of mount",EU4284,https://collections.ed.ac.uk/art/record/99520?highlight=*:*,NA,NA,NA
Kathleen Russell (b.1940),Untitled,1960,1960s,"Ink drawing on paper, of a female life model seen seated from behind. Wearing traditional floor length dress.",ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,Signature seen on bottom left hand of drawing.,EU4283,https://collections.ed.ac.uk/art/record/99519?highlight=*:*,NA,NA,NA
Kathleen Russell (b.1940),Unknown,1962,1960s,Standing female nude figure with arms rested on clotheshorse with sheets,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),17cm (W) x 46.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; watercolours (paintings),NA,EU3429,https://collections.ed.ac.uk/art/record/50503?highlight=*:*,NA,NA,NA
Kathryn M. Buchan,Untitled,Dec 1970,20th century; 1970s,"Multiple images of people and animals at the top of the print, with a masked figure sitting in a chair below.",NA,74.5cm H x 64cm W,Art Collection; Edinburgh College of Art,NA,Kathryn M. Buchan signature,EU2746,https://collections.ed.ac.uk/art/record/21869?highlight=*:*,NA,NA,NA
Katie Devenish,Crow,2007,2000s,"Screenprint of a crow. The crow itself is done in a very loose style, whilst the background is a flat grey.",Print,NA,Art Collection; Edinburgh College of Art,screen prints,Edition 4/11,EU5119,https://collections.ed.ac.uk/art/record/99892?highlight=*:*,NA,NA,NA
Katie Paterson (b.1981),100 Billion Suns,2012,21st century; 2010s,From a limited edition of 150 prints. 100 Billion Suns was a project for the 54th Venice Biennale.,paper (fibre product); ink/coating (material)/materials (substances),59.4 x 84.1 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1875,https://collections.ed.ac.uk/art/record/21002?highlight=*:*,NA,NA,NA
Keith Thomson,Demolished Building,NA,NA,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2338,https://collections.ed.ac.uk/art/record/21464?highlight=*:*,NA,NA,NA
Kellar,Portrait of a Seated Woman,1962,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2167,https://collections.ed.ac.uk/art/record/21293?highlight=*:*,NA,NA,NA
Ken McLennan,Untitled,1973,20th century; 1970s,"Layered, abstract print with collage made from pieces of maps",NA,56.7cm H x 76.5cm W,Art Collection; Edinburgh College of Art,NA,Ken McLennan signature,EU2721,https://collections.ed.ac.uk/art/record/21844?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Standing Male Nude,1959,20th century; 1950s,NA,paper (fibre product),NA,Edinburgh College of Art; Art Collection,drawings (visual works); silverpoint drawings,NA,EU2204,https://collections.ed.ac.uk/art/record/21330?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Portrait of a Woman,1959,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2202,https://collections.ed.ac.uk/art/record/21328?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Standing Female Nude,1959,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2203,https://collections.ed.ac.uk/art/record/21329?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Standing Male Nude,1959,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2206,https://collections.ed.ac.uk/art/record/21332?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Portrait of a Man,1959,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2205,https://collections.ed.ac.uk/art/record/21331?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),Unknown,NA,1950s; 1960s; 20th century,"Profile head portrait of male figure with long hair and brimmed cap, looking toward right of composition.",graphite (mineral)/inorganic material/materials (substances),24.5cm (W) x 34.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3555,https://collections.ed.ac.uk/art/record/50629?highlight=*:*,NA,NA,NA
Kenneth Dingwall (b.1938),The Judgement of Paris,1959,20th century; 1950s,"'The Judgement of Paris' a required title set by the examining committee for the Diploma requirements of 1959. A history book examination process that still echoed the 19th c. French Academy. This was conducted with locked studios, timed examinations, and set requirements of works with minimum and maximum dimensions: a life drawing and a life painting from the male model, a life drawing and a life painting from the female model, a composition from a short list of three or four title themes with working drawings. 'The Judgement of Paris' used the experience from a summer holiday job at Butlin's Holiday Camp and its the bathing beauty contest. All of these works had to be shown in the final Diploma Exhibition alongside a selection of works from students' output that year, chosen by a committee from the Drawing & Painting Department.",oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3269,https://collections.ed.ac.uk/art/record/22713?highlight=*:*,NA,NA,NA
Kenneth Muir,Portrait of Seated Man in a Cap,1960,20th century; 1960s,Gained his Diploma from ECA in 1960.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU1856,https://collections.ed.ac.uk/art/record/20983?highlight=*:*,NA,NA,NA
Kenneth R Duffy,In Edinburgh Carnival '65,1965,NA,Carnival scene with muted colour pallette,gouache (paint)/watercolour (paint)/paint (coating),76.3cm (W) x 56cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); paintings 1901-2000,"Signature in pencil ""Kenneth Duffy 'In Edinburgh Carnival '65'""",EU4257,https://collections.ed.ac.uk/art/record/99493?highlight=*:*,NA,NA,NA
Kenneth R Duffy,Unknown,1968,1960s,"Life drawing in graphite of male nude, sat on chair, from rear. Additional life drawing pasted onto rear of mount, depicting 2 male models facing one another, one seated.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; life drawings,Tear on window mount on right hand side with marks from drawing pins on each corner of the original drawing. Drawing on reverse attached with gum tape. Name 'Duffy' appears on the bottom right hand corner of the mount.,EU4279,https://collections.ed.ac.uk/art/record/99515?highlight=*:*,NA,NA,NA
Kenneth R Duffy,Unknown,1968,1960s,3/4 view life drawing in pastel,pastels (crayons)/crayons (drawing material),53.6 x23cm,Art Collection; Edinburgh College of Art,drawings (visual works); pastel; life drawings,"Glue marks around perimeter of piece, with small incomplete sketch on reverse",EU4278,https://collections.ed.ac.uk/art/record/99514?highlight=*:*,NA,NA,NA
Kenneth R Wheatley,Two Views of a Lying Male Nude,1960,20th century; 1960s,Gained his Diploma in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1731,https://collections.ed.ac.uk/art/record/20858?highlight=*:*,NA,NA,NA
Kenneth R Wheatley,Lying Female Nude,1960,20th century; 1960s,Gained his Diploma in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1730,https://collections.ed.ac.uk/art/record/20857?highlight=*:*,NA,NA,NA
Kenneth T. W. Neil,Figurative Composition in Brown and Blue,1993,20th century; 1990s,NA,Oil on Board/oil paint (paint)/paint (coating); pastels (crayons)/crayons (drawing material); crayons (drawing material),67 x 22.8 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1629,https://collections.ed.ac.uk/art/record/20756?highlight=*:*,NA,NA,NA
Kenneth W. Bushe,Still Life with Two Seagulls,1975,20th century; 1970s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3190,https://collections.ed.ac.uk/art/record/22635?highlight=*:*,NA,NA,NA
Kenny Grant,Making the World Safe for Capitalism,Unknown,NA,Image of plastic toy soldier and the Liquorice Allsorts mascott below the slogan 'Making the World Safe for Capitalism',NA,50cm (H) x 62cm (W),Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Kenny Grant,EU2695,https://collections.ed.ac.uk/art/record/21819?highlight=*:*,NA,NA,NA
Kerri Stean,Untitled,2007,2000s,"UV exposed etching on paper, depicting what looks like a simple, yet dark landscape.",paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Art Collection; Edinburgh College of Art,etchings (prints); drypoint,Edition 1/4,EU5206,https://collections.ed.ac.uk/art/record/99978?highlight=*:*,NA,NA,NA
Kerry Watson,Still Life,1994-1995,20th century; 1990s,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2324,https://collections.ed.ac.uk/art/record/21450?highlight=*:*,NA,NA,NA
Kerys Ellery,Untitled,Unknown,NA,Abstract print of two tigers.,NA,74.8cm H x 53.3cm W (with mount) 66.5cm H x 47.7cm W (without mout),Art Collection; Edinburgh College of Art,prints (visual works),Kerys Ellery Signature,EU2490,https://collections.ed.ac.uk/art/record/21615?highlight=*:*,NA,NA,NA
Kevin Maguire,Untitled,1967,20th century; 1960s,"Portrait of a lady wearing a blue top, with long blonde hair",watercolour (paint)/paint (coating),32.7cm H x 25.8cm W,Art Collection; Edinburgh College of Art,watercolours (paintings),"Artists name, course and date are written in the bottom left corner of the border - ""Kevin Maguire. D/P. 1967""",EU2910,https://collections.ed.ac.uk/art/record/22027?highlight=*:*,NA,NA,NA
Kevin Maguire,Untitled - Nude Female Sitting,1967,20th century; 1960s,Figure drawing in graphite of a nude woman sitting with her right arm outstretched with the outline of an artist sketching her pose in the background.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pencil drawings; life drawings,NA,EU4123,https://collections.ed.ac.uk/art/record/99359?highlight=*:*,NA,NA,NA
Kevin Maguire,Untitled - Nude Female Lying On a Patterned Bed,1967,20th century; 1960s,Figure drawing in graphite of a nude woman lying with her right knee raised and left arm bent on a bed covered with patterned fabrics,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pencil drawings; life drawings,NA,EU4122,https://collections.ed.ac.uk/art/record/99358?highlight=*:*,NA,NA,NA
Kirkland Main,Untitled,1967,20th century; 1960s,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU2749,https://collections.ed.ac.uk/art/record/21872?highlight=*:*,NA,NA,NA
Kirkland Main,Suit of Armour,Circa 1964,20th century; 1950s; 1960s,NA,paint (coating); paper (fibre product),NA,Art Collection; Edinburgh College of Art,acrylic,NA,EU2043,https://collections.ed.ac.uk/art/record/21170?highlight=*:*,NA,NA,NA
Kirkland Main,Portrait of a Woman (Carole Danielson),1964,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2041,https://collections.ed.ac.uk/art/record/21168?highlight=*:*,NA,NA,NA
Kirkland Main,Seated Female Nude,1964,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2040,https://collections.ed.ac.uk/art/record/21167?highlight=*:*,NA,NA,NA
Kirkland Main,Standing Male Nude,1964,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,pencil drawings; watercolours (paintings),NA,EU2042,https://collections.ed.ac.uk/art/record/21169?highlight=*:*,NA,NA,NA
Kirkland Main,Abstract Landscape,Circa 1964,20th century; 1950s; 1960s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,oil paintings (visual works),NA,EU2044,https://collections.ed.ac.uk/art/record/21171?highlight=*:*,NA,NA,NA
Kirkland Main,Untitled,Unknown,NA,Abstract lithograph,NA,47.5cm H x 44.6cm W,Art Collection; Edinburgh College of Art,NA,NA,EU2815,https://collections.ed.ac.uk/art/record/21938?highlight=*:*,NA,NA,NA
Kirkland Main,Portrait of a Man,1964,NA,NA,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU4752,https://collections.ed.ac.uk/art/record/102658?highlight=*:*,NA,NA,NA
Kirkland Main,Untitled,NA,1960s,Full length portrait of a man posing.,NA,H 42cm W 23.5cm,Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000; pastel,K Main (bottom right of mount),EU5215,https://collections.ed.ac.uk/art/record/99987?highlight=*:*,NA,NA,NA
Kirkland Main,Untitled,NA,1960s,Sketch of a naked woman reclining on a chair.,NA,H 27cm W 37.8cm,Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000; pencil drawings,"Main (written in pencil, bottom right corner)",EU5216,https://collections.ed.ac.uk/art/record/99988?highlight=*:*,NA,NA,NA
Kirkland Main,Man with Woman Smoking,1964,20th century; 1960s,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3104,https://collections.ed.ac.uk/art/record/22549?highlight=*:*,NA,NA,NA
Kirsty A Kirkwood,Untitled - Woman and Man,1981,20th century; 1980s,Drawing in charcoal of a woman wearing a head scarf and collared shirt under a jumper sitting on the left of a man sitting with his hands crossed in a jacked and collared shirt and glasses.,charcoal (material)/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); charcoal drawings; drawings 1901-2000,NA,EU4203,https://collections.ed.ac.uk/art/record/99439?highlight=*:*,NA,NA,NA
Kirsty E. Raitt,Old Waverley Hotel,1990,20th century; 1990s,NA,acrylic paint/paint (coating); charcoal (material)/plant material/materials (substances); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; oil paintings (visual works),NA,EU3142,https://collections.ed.ac.uk/art/record/22587?highlight=*:*,NA,NA,NA
Kirsty MacDonald,Untitled,2002,2000s,Multiplate etching on paper.,paper (fibre product),NA,Art Collection; Edinburgh College of Art,etchings (prints),Kirsty MacDonald '02,EU5157,https://collections.ed.ac.uk/art/record/99929?highlight=*:*,NA,NA,NA
Kirsty MacDonald,Untitled,2002,2000s,Multiplate etching depicting geometric forms and varying textures.,paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Art Collection; Edinburgh College of Art,etchings (prints),NA,EU5177,https://collections.ed.ac.uk/art/record/99949?highlight=*:*,NA,NA,NA
Kirsty Ratt,Portrait of a Man,NA,NA,NA,chalk; graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,chalk drawings; pencil drawings,NA,EU2313,https://collections.ed.ac.uk/art/record/21439?highlight=*:*,NA,NA,NA
Ky Ober,Unnamed,2002,2000s,"Photolithograph, dark image where we can see a blurred grid, with archways seen below it. Hard to make out the imagery.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection; Art Collection,lithographs,Edition 1/30,EU5178,https://collections.ed.ac.uk/art/record/99950?highlight=*:*,NA,NA,NA
Kyle Noble (b.1987),Relic of Origins: Red Deer,2013,NA,NA,bone (material)/materials (substances); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,natural history; drawings (visual works); sculpture; natural history; sculpture,NA,EU2179,https://collections.ed.ac.uk/art/record/21305?highlight=*:*,NA,Europe; Scotland; United Kingdom,NA
Kyle Noble (b.1987),Relic of Origins: Wild Boar,2013,NA,NA,bone (material)/materials (substances); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,sculpture; drawings (visual works); natural history; sculpture; natural history,NA,EU2178,https://collections.ed.ac.uk/art/record/21304?highlight=*:*,NA,Europe; Scotland; United Kingdom,NA
L Braque,Portrait of a Woman,1953,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,Annotated '1953 Dip (DEGREE)',EU2072,https://collections.ed.ac.uk/art/record/21199?highlight=*:*,NA,NA,NA
L Henniker,Abstract,NA,NA,NA,Pen and Wash/Drawing; graphite (mineral)/inorganic material/materials (substances); paint (coating),NA,Art Collection; Edinburgh College of Art,pen and wash drawings; pencil drawings,NA,EU2329,https://collections.ed.ac.uk/art/record/21455?highlight=*:*,NA,NA,NA
L Henniker,Four Abstract Panels,NA,NA,NA,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU2334,https://collections.ed.ac.uk/art/record/21460?highlight=*:*,NA,NA,NA
L Weir,Reclining Male Nude,Feb 1951,20th century; 1950s,Drawing from ECA examination.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2096,https://collections.ed.ac.uk/art/record/21223?highlight=*:*,NA,NA,NA
L. Allan,Untitled,1963,20th century; 1960s,Drawing (with some paint) of a nude woman reclining on a chaise lounge,graphite (mineral)/inorganic material/materials (substances); paint (coating),37cm H x 57.8cm W,Art Collection; Edinburgh College of Art,drawings (visual works); life drawings; pencil drawings,"Bottom right hand corner - artists name and date ""L.Allen 1963""",EU2895,https://collections.ed.ac.uk/art/record/22012?highlight=*:*,NA,NA,NA
L. Allan,Opera - Vienna,1963-1964,20th century; 1960s,"A brightly colored drawing of the opera house in Vienna at night in watercoulor, charcoal and chalk.",chalk,NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; chalk drawings; charcoal drawings; pencil drawings; paintings (visual works); watercolours (paintings); gouache; portrait,'Leslie Allen' written on the bottom right and 'Opera- Vienna' written on the bottom left in pencil on the frame.,EU4148,https://collections.ed.ac.uk/art/record/99384?highlight=*:*,NA,NA,NA
L. Allan,Untitled - Portrait of a Girl,1963,20th century; 1960s,A drawing in charcoal on blue paper of a portrait of a young girl with shoulder length hair and a fringe.,charcoal (material)/plant material/materials (substances),42.5x32.2,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; charcoal drawings; portrait,NA,EU4147,https://collections.ed.ac.uk/art/record/99383?highlight=*:*,NA,NA,NA
Lara Hirst,One Pound Coin,2017,NA,A single pound coin recast into a perfect cube. Accompanying plinth with perspex.,Nickel-Brass/metal/inorganic material/materials (substances),10.78 mm x 10.78 mm x 10.78 mm,Art Collection; Edinburgh College of Art,sculpture; sculpture 2001- present; sculpture; sculpture,NA,EU5594,https://collections.ed.ac.uk/art/record/100017?highlight=*:*,NA,NA,NA
Lara Hirst,"Pro Tanto Quid Retribuamus/For so much, what shall we give in return?",2017,NA,Pound coin with obverse and reverse removed. Accompanying plinth with perspex.,Nickel-Brass/metal/inorganic material/materials (substances),22.5mm (diameter) 3.15mm (thickness),Art Collection; Edinburgh College of Art,sculpture; sculpture 2001- present; sculpture; sculpture,NA,EU5595,https://collections.ed.ac.uk/art/record/100018?highlight=*:*,NA,NA,NA
Laura Drever,Abstract Pale Landscape,NA,NA,NA,acrylic paint/paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3149,https://collections.ed.ac.uk/art/record/22594?highlight=*:*,NA,NA,NA
Laura Guoke,Schizophrenia,2007,2000s,"Simple one cut linocut, showing two image planes in one. A large female figure on the left leans over to observe an embracing couple, much smaller than her, on the right.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,prints (visual works); linocuts (prints); woodcuts (prints),Edition 7/10 Signature hard to make out,EU5130,https://collections.ed.ac.uk/art/record/99903?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled,1965,NA,"Landscape pencil drawing of Edinburgh Castle to the right, and a view of the city to the left. Presumably drawn from one of the castle facing studios at ECA.",NA,37.6cm H x 46.3cm W,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings; landscapes (representations),Bottom right of backing - artist's signature and the number three. Underneath signature another hand has written 'DIP. 1965. Laura McPherson' Nothing is written on the back.,EU2941,https://collections.ed.ac.uk/art/record/22482?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Forest Landscape,1965-1966,20th century; 1960s,An abstract drawing in pen and ink wash of a landscape with a forest in the middle and a road and fence in the foreground.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; Abstract (fine arts style); landscapes (representations),NA,EU4155,https://collections.ed.ac.uk/art/record/99391?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Nude Woman with Legs Folded,1965,20th century; 1960s,"A figure drawing in ink, charcoal, and pastel of a nude woman with short hair sitting with her legs folded and arms resting on the headboard.",Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,fine art; life drawings; drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; charcoal drawings; pastel,'McPherson' written in pencil on the top right of the frame.,EU4154,https://collections.ed.ac.uk/art/record/99390?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Road,1965,20th century; 1960s,"Abstract drawing in oil pastel with an ink wash below of a road flanked by buildings on either side and five cars in blue, pinks, and greens.",Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); drawings 1901-2000; mixed media works; pastel; pen and wash drawings,NA,EU4157,https://collections.ed.ac.uk/art/record/99393?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Abstract Landscape with Black,1965-1966,20th century; 1960s,"A watercolour painting with thinkly applied gouache of abstracted objects primarily using red, yellow, white and black.",gouache (paint)/watercolour (paint)/paint (coating); paper (fibre product),NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4156,https://collections.ed.ac.uk/art/record/99392?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Portrait of Girl in Glasses,1965,20th century; 1960s,An animated figure drawing in black ink of a portrait of a girl with curly hair and glasses.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; life drawings; drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; portrait,NA,EU4153,https://collections.ed.ac.uk/art/record/99389?highlight=*:*,NA,NA,NA
Laura McPherson,Untitled - Birds Eye View of City,1965,20th century; 1960s,Abstract drawing in oil pastel with ink looking down upon a parking lot and city buildings which progess into the background.,Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); drawings 1901-2000; pastel; pen and wash drawings; ink; mixed media works,NA,EU4158,https://collections.ed.ac.uk/art/record/99394?highlight=*:*,NA,NA,NA
Laura McPherson,Unknown,1965,1960s,Repeated study of female nude lying down with right arm behind head. Viewed from above head,ink/coating (material)/materials (substances),40cm (W) x 55cm (H),Art Collection; Edinburgh College of Art,ink,NA,EU3425,https://collections.ed.ac.uk/art/record/50499?highlight=*:*,NA,NA,NA
Laura Nye,Seated Female Nude,1953,20th century; 1950s,Gained her Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1990,https://collections.ed.ac.uk/art/record/21117?highlight=*:*,NA,NA,NA
Laura Nye,Reclining Nude,1953,20th century; 1950s,Gained her Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1991,https://collections.ed.ac.uk/art/record/21118?highlight=*:*,NA,NA,NA
Laura Nye,Unknown,1953,1950s; 20th century,"Full length portrait of male nude figure viewed from below. Figure's right leg is outstretched at the bottom left of the composition, and the torso is twisted so that the left leg is outside the composition. Head is shown in profile and the figure's arms are outstretched above the head.",ink/coating (material)/materials (substances),38.1cm (W) x 55.6cm (H),Art Collection; Edinburgh College of Art,ink,NA,EU3662,https://collections.ed.ac.uk/art/record/53571?highlight=*:*,NA,NA,NA
Laurence Roche,Untitled,1967,NA,Drawing of a man on a chair wearing glasses.,graphite (mineral)/inorganic material/materials (substances),39.4cm H 36.9cm w,Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,"Front left corner - artists name, course and date.",EU2939,https://collections.ed.ac.uk/art/record/22480?highlight=*:*,NA,NA,NA
Lawrence F. Baxter,Portrait of a Man,1956,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances); paper (fibre product),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2055,https://collections.ed.ac.uk/art/record/21182?highlight=*:*,NA,NA,NA
Lawrence F. Baxter,Unknown,1957,1950s; 20th century,Abstract composition in maroon and gold with yellow blue and grey on pink background.,watercolour (paint)/paint (coating); paper (fibre product),37.2cm (W) x 27.5cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3543,https://collections.ed.ac.uk/art/record/50617?highlight=*:*,NA,NA,NA
Lawrence F. Baxter,Unknown,1953-1954,1950s; 20th century,"Full length portrair of seated male figure from behind, wearing long coat with large pockets and brimmed artist's hat.",graphite (mineral)/inorganic material/materials (substances); paper (fibre product),20.9cm (W) x 38.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3542,https://collections.ed.ac.uk/art/record/50616?highlight=*:*,NA,NA,NA
Lawrence Roche,Untitled,1967,20th century; 1960s,Two abstract figures. Part of Roche's 1967 Edinbugh College of Art Diploma.,NA,33cm H x 38cm W (with mount) 30.6cm H x 37cm W (without mount),Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2633,https://collections.ed.ac.uk/art/record/21758?highlight=*:*,NA,NA,NA
Layla Kerley,Untitled,2014,NA,Looped video projection and sound installation. Awarded the ECA Collections Prize 2014.,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU2979,https://collections.ed.ac.uk/art/record/47454?highlight=*:*,NA,NA,NA
Leah Oates,Cup of Life,1994,20th century; 1990s,Pair of feet and a blue cup. Piece was submitted as part of the artist's postgraduate degree portfolio.,NA,73.2cm H x 99.4cm W,Art Collection; Edinburgh College of Art,prints (visual works),Leah Oates signature,EU2433,https://collections.ed.ac.uk/art/record/21558?highlight=*:*,NA,NA,NA
Leon Francesco Morrocco (Scottish b.1942),Student in the Studio,NA,NA,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU2275,https://collections.ed.ac.uk/art/record/21401?highlight=*:*,NA,NA,NA
